RG1000 GB6*** BR0000   h0000  R255 G000 B000
RG0996 GB1000 BR0000   h0001  R255 G001 B000
RG0992 GB1000 BR0000   h0002  R255 G002 B000
RG0988 GB1000 BR0000   h0003  R255 G003 B000
RG0984 GB1000 BR0000   h0004  R255 G004 B000
RG0980 GB1000 BR0000   h0005  R255 G005 B000
RG0977 GB1000 BR0000   h0006  R255 G006 B000
RG0973 GB1000 BR0000   h0007  R255 G007 B000
RG0969 GB1000 BR0000   h0008  R255 G008 B000
RG0965 GB1000 BR0000   h0009  R255 G009 B000
RG0962 GB1000 BR0000   h0010  R255 G010 B000
RG0958 GB1000 BR0000   h0011  R255 G011 B000
RG0955 GB1000 BR0000   h0012  R255 G012 B000
RG0951 GB1000 BR0000   h0013  R255 G013 B000
RG0947 GB1000 BR0000   h0014  R255 G014 B000
RG0944 GB1000 BR0000   h0015  R255 G015 B000
RG0940 GB1000 BR0000   h0016  R255 G016 B000
RG0937 GB1000 BR0000   h0017  R255 G017 B000
RG0934 GB1000 BR0000   h0018  R255 G018 B000
RG0930 GB1000 BR0000   h0019  R255 G019 B000
RG0927 GB1000 BR0000   h0020  R255 G020 B000
RG0923 GB1000 BR0000   h0021  R255 G021 B000
RG0920 GB1000 BR0000   h0022  R255 G022 B000
RG0917 GB1000 BR0000   h0023  R255 G023 B000
RG0913 GB1000 BR0000   h0024  R255 G024 B000
RG0910 GB1000 BR0000   h0025  R255 G025 B000
RG0907 GB1000 BR0000   h0026  R255 G026 B000
RG0904 GB1000 BR0000   h0027  R255 G027 B000
RG0901 GB1000 BR0000   h0028  R255 G028 B000
RG0897 GB1000 BR0000   h0029  R255 G029 B000
RG0894 GB1000 BR0000   h0030  R255 G030 B000
RG0891 GB1000 BR0000   h0031  R255 G031 B000
RG0888 GB1000 BR0000   h0032  R255 G032 B000
RG0885 GB1000 BR0000   h0033  R255 G033 B000
RG0882 GB1000 BR0000   h0034  R255 G034 B000
RG0879 GB1000 BR0000   h0035  R255 G035 B000
RG0876 GB1000 BR0000   h0036  R255 G036 B000
RG0873 GB1000 BR0000   h0037  R255 G037 B000
RG0870 GB1000 BR0000   h0038  R255 G038 B000
RG0867 GB1000 BR0000   h0039  R255 G039 B000
RG0864 GB1000 BR0000   h0040  R255 G040 B000
RG0861 GB1000 BR0000   h0041  R255 G041 B000
RG0858 GB1000 BR0000   h0042  R255 G042 B000
RG0855 GB1000 BR0000   h0043  R255 G043 B000
RG0852 GB1000 BR0000   h0044  R255 G044 B000
RG0850 GB1000 BR0000   h0045  R255 G045 B000
RG0847 GB1000 BR0000   h0046  R255 G046 B000
RG0844 GB1000 BR0000   h0047  R255 G047 B000
RG0841 GB1000 BR0000   h0048  R255 G048 B000
RG0838 GB1000 BR0000   h0049  R255 G049 B000
RG0836 GB1000 BR0000   h0050  R255 G050 B000
RG0833 GB1000 BR0000   h0051  R255 G051 B000
RG0830 GB1000 BR0000   h0052  R255 G052 B000
RG0827 GB1000 BR0000   h0053  R255 G053 B000
RG0825 GB1000 BR0000   h0054  R255 G054 B000
RG0822 GB1000 BR0000   h0055  R255 G055 B000
RG0819 GB1000 BR0000   h0056  R255 G056 B000
RG0817 GB1000 BR0000   h0057  R255 G057 B000
RG0814 GB1000 BR0000   h0058  R255 G058 B000
RG0812 GB1000 BR0000   h0059  R255 G059 B000
