RG1000 GB6*** BR0000   h0000  R255 G000 B000
RG0992 GB1000 BR0000   h0001  R253 G002 B000
RG0980 GB1000 BR0000   h0002  R250 G005 B000
RG0968 GB1000 BR0000   h0003  R247 G008 B000
RG0960 GB1000 BR0000   h0004  R245 G010 B000
RG0949 GB1000 BR0000   h0005  R242 G013 B000
RG0937 GB1000 BR0000   h0006  R239 G016 B000
RG0929 GB1000 BR0000   h0007  R237 G018 B000
RG0917 GB1000 BR0000   h0008  R234 G021 B000
RG0905 GB1000 BR0000   h0009  R231 G024 B000
RG0898 GB1000 BR0000   h0010  R229 G026 B000
RG0886 GB1000 BR0000   h0011  R226 G029 B000
RG0874 GB1000 BR0000   h0012  R223 G032 B000
RG0866 GB1000 BR0000   h0013  R221 G034 B000
RG0854 GB1000 BR0000   h0014  R218 G037 B000
RG0843 GB1000 BR0000   h0015  R215 G040 B000
RG0831 GB1000 BR0000   h0016  R212 G043 B000
RG0823 GB1000 BR0000   h0017  R210 G045 B000
RG0811 GB1000 BR0000   h0018  R207 G048 B000
RG0800 GB1000 BR0000   h0019  R204 G051 B000
RG0792 GB1000 BR0000   h0020  R202 G053 B000
RG0780 GB1000 BR0000   h0021  R199 G056 B000
RG0768 GB1000 BR0000   h0022  R196 G059 B000
RG0760 GB1000 BR0000   h0023  R194 G061 B000
RG0749 GB1000 BR0000   h0024  R191 G064 B000
RG0737 GB1000 BR0000   h0025  R188 G067 B000
RG0729 GB1000 BR0000   h0026  R186 G069 B000
RG0717 GB1000 BR0000   h0027  R183 G072 B000
RG0705 GB1000 BR0000   h0028  R180 G075 B000
RG0698 GB1000 BR0000   h0029  R178 G077 B000
RG0686 GB1000 BR0000   h0030  R175 G080 B000
RG0674 GB1000 BR0000   h0031  R172 G083 B000
RG0667 GB1000 BR0000   h0032  R171 G085 B000
RG0662 GB1000 BR0000   h0033  R171 G087 B000
RG0655 GB1000 BR0000   h0034  R171 G090 B000
RG0647 GB1000 BR0000   h0035  R171 G093 B000
RG0642 GB1000 BR0000   h0036  R171 G095 B000
RG0635 GB1000 BR0000   h0037  R171 G098 B000
RG0628 GB1000 BR0000   h0038  R171 G101 B000
RG0624 GB1000 BR0000   h0039  R171 G103 B000
RG0617 GB1000 BR0000   h0040  R171 G106 B000
RG0610 GB1000 BR0000   h0041  R171 G109 B000
RG0606 GB1000 BR0000   h0042  R171 G111 B000
RG0600 GB1000 BR0000   h0043  R171 G114 B000
RG0593 GB1000 BR0000   h0044  R171 G117 B000
RG0589 GB1000 BR0000   h0045  R171 G119 B000
RG0583 GB1000 BR0000   h0046  R171 G122 B000
RG0577 GB1000 BR0000   h0047  R171 G125 B000
RG0571 GB1000 BR0000   h0048  R171 G128 B000
RG0568 GB1000 BR0000   h0049  R171 G130 B000
RG0562 GB1000 BR0000   h0050  R171 G133 B000
RG0557 GB1000 BR0000   h0051  R171 G136 B000
RG0553 GB1000 BR0000   h0052  R171 G138 B000
RG0548 GB1000 BR0000   h0053  R171 G141 B000
RG0542 GB1000 BR0000   h0054  R171 G144 B000
RG0539 GB1000 BR0000   h0055  R171 G146 B000
RG0534 GB1000 BR0000   h0056  R171 G149 B000
RG0529 GB1000 BR0000   h0057  R171 G152 B000
RG0526 GB1000 BR0000   h0058  R171 G154 B000
RG0521 GB1000 BR0000   h0059  R171 G157 B000
RG0516 GB1000 BR0000   h0060  R171 G160 B000
RG0513 GB1000 BR0000   h0061  R171 G162 B000
RG0508 GB1000 BR0000   h0062  R171 G165 B000
RG0504 GB1000 BR0000   h0063  R171 G168 B000
RG0501 GB1000 BR0000   h0064  R171 G170 B000
