RG1000 GB6*** BR0000   h0000  R1020 G0000 B0000
RG0997 GB1000 BR0000   h0001  R1017 G0003 B0000
RG0994 GB1000 BR0000   h0002  R1014 G0006 B0000
RG0991 GB1000 BR0000   h0003  R1011 G0009 B0000
RG0988 GB1000 BR0000   h0004  R1008 G0012 B0000
RG0985 GB1000 BR0000   h0005  R1005 G0015 B0000
RG0982 GB1000 BR0000   h0006  R1002 G0018 B0000
RG0979 GB1000 BR0000   h0007  R0999 G0021 B0000
RG0976 GB1000 BR0000   h0008  R0996 G0024 B0000
RG0973 GB1000 BR0000   h0009  R0993 G0027 B0000
RG0970 GB1000 BR0000   h0010  R0990 G0030 B0000
RG0967 GB1000 BR0000   h0011  R0987 G0033 B0000
RG0964 GB1000 BR0000   h0012  R0984 G0036 B0000
RG0961 GB1000 BR0000   h0013  R0981 G0039 B0000
RG0958 GB1000 BR0000   h0014  R0978 G0042 B0000
RG0955 GB1000 BR0000   h0015  R0975 G0045 B0000
RG0952 GB1000 BR0000   h0016  R0972 G0048 B0000
RG0950 GB1000 BR0000   h0017  R0969 G0051 B0000
RG0947 GB1000 BR0000   h0018  R0966 G0054 B0000
RG0944 GB1000 BR0000   h0019  R0963 G0057 B0000
RG0941 GB1000 BR0000   h0020  R0960 G0060 B0000
RG0938 GB1000 BR0000   h0021  R0957 G0063 B0000
RG0935 GB1000 BR0000   h0022  R0954 G0066 B0000
RG0932 GB1000 BR0000   h0023  R0951 G0069 B0000
RG0929 GB1000 BR0000   h0024  R0948 G0072 B0000
RG0926 GB1000 BR0000   h0025  R0945 G0075 B0000
RG0923 GB1000 BR0000   h0026  R0942 G0078 B0000
RG0920 GB1000 BR0000   h0027  R0939 G0081 B0000
RG0917 GB1000 BR0000   h0028  R0936 G0084 B0000
RG0914 GB1000 BR0000   h0029  R0933 G0087 B0000
RG0911 GB1000 BR0000   h0030  R0930 G0090 B0000
RG0908 GB1000 BR0000   h0031  R0927 G0093 B0000
RG0905 GB1000 BR0000   h0032  R0924 G0096 B0000
RG0902 GB1000 BR0000   h0033  R0921 G0099 B0000
RG0900 GB1000 BR0000   h0034  R0918 G0102 B0000
RG0897 GB1000 BR0000   h0035  R0915 G0105 B0000
RG0894 GB1000 BR0000   h0036  R0912 G0108 B0000
RG0891 GB1000 BR0000   h0037  R0909 G0111 B0000
RG0888 GB1000 BR0000   h0038  R0906 G0114 B0000
RG0885 GB1000 BR0000   h0039  R0903 G0117 B0000
RG0882 GB1000 BR0000   h0040  R0900 G0120 B0000
RG0879 GB1000 BR0000   h0041  R0897 G0123 B0000
RG0876 GB1000 BR0000   h0042  R0894 G0126 B0000
RG0873 GB1000 BR0000   h0043  R0891 G0129 B0000
RG0870 GB1000 BR0000   h0044  R0888 G0132 B0000
RG0867 GB1000 BR0000   h0045  R0885 G0135 B0000
RG0864 GB1000 BR0000   h0046  R0882 G0138 B0000
RG0861 GB1000 BR0000   h0047  R0879 G0141 B0000
RG0858 GB1000 BR0000   h0048  R0876 G0144 B0000
RG0855 GB1000 BR0000   h0049  R0873 G0147 B0000
RG0852 GB1000 BR0000   h0050  R0870 G0150 B0000
RG0850 GB1000 BR0000   h0051  R0867 G0153 B0000
RG0847 GB1000 BR0000   h0052  R0864 G0156 B0000
RG0844 GB1000 BR0000   h0053  R0861 G0159 B0000
RG0841 GB1000 BR0000   h0054  R0858 G0162 B0000
RG0838 GB1000 BR0000   h0055  R0855 G0165 B0000
RG0835 GB1000 BR0000   h0056  R0852 G0168 B0000
RG0832 GB1000 BR0000   h0057  R0849 G0171 B0000
RG0829 GB1000 BR0000   h0058  R0846 G0174 B0000
RG0826 GB1000 BR0000   h0059  R0843 G0177 B0000
RG0823 GB1000 BR0000   h0060  R0840 G0180 B0000
RG0820 GB1000 BR0000   h0061  R0837 G0183 B0000
RG0817 GB1000 BR0000   h0062  R0834 G0186 B0000
RG0814 GB1000 BR0000   h0063  R0831 G0189 B0000
RG0811 GB1000 BR0000   h0064  R0828 G0192 B0000
RG0808 GB1000 BR0000   h0065  R0825 G0195 B0000
RG0805 GB1000 BR0000   h0066  R0822 G0198 B0000
RG0802 GB1000 BR0000   h0067  R0819 G0201 B0000
RG0800 GB1000 BR0000   h0068  R0816 G0204 B0000
RG0797 GB1000 BR0000   h0069  R0813 G0207 B0000
RG0794 GB1000 BR0000   h0070  R0810 G0210 B0000
RG0791 GB1000 BR0000   h0071  R0807 G0213 B0000
RG0788 GB1000 BR0000   h0072  R0804 G0216 B0000
RG0785 GB1000 BR0000   h0073  R0801 G0219 B0000
RG0782 GB1000 BR0000   h0074  R0798 G0222 B0000
RG0779 GB1000 BR0000   h0075  R0795 G0225 B0000
RG0776 GB1000 BR0000   h0076  R0792 G0228 B0000
RG0773 GB1000 BR0000   h0077  R0789 G0231 B0000
RG0770 GB1000 BR0000   h0078  R0786 G0234 B0000
RG0767 GB1000 BR0000   h0079  R0783 G0237 B0000
RG0764 GB1000 BR0000   h0080  R0780 G0240 B0000
RG0761 GB1000 BR0000   h0081  R0777 G0243 B0000
RG0758 GB1000 BR0000   h0082  R0774 G0246 B0000
RG0755 GB1000 BR0000   h0083  R0771 G0249 B0000
RG0752 GB1000 BR0000   h0084  R0768 G0252 B0000
RG0750 GB1000 BR0000   h0085  R0765 G0255 B0000
RG0747 GB1000 BR0000   h0086  R0762 G0258 B0000
RG0744 GB1000 BR0000   h0087  R0759 G0261 B0000
RG0741 GB1000 BR0000   h0088  R0756 G0264 B0000
RG0738 GB1000 BR0000   h0089  R0753 G0267 B0000
RG0735 GB1000 BR0000   h0090  R0750 G0270 B0000
RG0732 GB1000 BR0000   h0091  R0747 G0273 B0000
RG0729 GB1000 BR0000   h0092  R0744 G0276 B0000
RG0726 GB1000 BR0000   h0093  R0741 G0279 B0000
RG0723 GB1000 BR0000   h0094  R0738 G0282 B0000
RG0720 GB1000 BR0000   h0095  R0735 G0285 B0000
RG0717 GB1000 BR0000   h0096  R0732 G0288 B0000
RG0714 GB1000 BR0000   h0097  R0729 G0291 B0000
RG0711 GB1000 BR0000   h0098  R0726 G0294 B0000
RG0708 GB1000 BR0000   h0099  R0723 G0297 B0000
RG0705 GB1000 BR0000   h0100  R0720 G0300 B0000
RG0702 GB1000 BR0000   h0101  R0717 G0303 B0000
RG0700 GB1000 BR0000   h0102  R0714 G0306 B0000
RG0697 GB1000 BR0000   h0103  R0711 G0309 B0000
RG0694 GB1000 BR0000   h0104  R0708 G0312 B0000
RG0691 GB1000 BR0000   h0105  R0705 G0315 B0000
RG0688 GB1000 BR0000   h0106  R0702 G0318 B0000
RG0685 GB1000 BR0000   h0107  R0699 G0321 B0000
RG0682 GB1000 BR0000   h0108  R0696 G0324 B0000
RG0679 GB1000 BR0000   h0109  R0693 G0327 B0000
RG0676 GB1000 BR0000   h0110  R0690 G0330 B0000
RG0673 GB1000 BR0000   h0111  R0687 G0333 B0000
RG0670 GB1000 BR0000   h0112  R0684 G0336 B0000
RG0667 GB1000 BR0000   h0113  R0681 G0339 B0000
RG0664 GB1000 BR0000   h0114  R0678 G0342 B0000
RG0661 GB1000 BR0000   h0115  R0675 G0345 B0000
RG0658 GB1000 BR0000   h0116  R0672 G0348 B0000
RG0655 GB1000 BR0000   h0117  R0669 G0351 B0000
RG0652 GB1000 BR0000   h0118  R0666 G0354 B0000
RG0650 GB1000 BR0000   h0119  R0663 G0357 B0000
RG0647 GB1000 BR0000   h0120  R0660 G0360 B0000
RG0644 GB1000 BR0000   h0121  R0657 G0363 B0000
RG0641 GB1000 BR0000   h0122  R0654 G0366 B0000
RG0638 GB1000 BR0000   h0123  R0651 G0369 B0000
RG0635 GB1000 BR0000   h0124  R0648 G0372 B0000
RG0632 GB1000 BR0000   h0125  R0645 G0375 B0000
RG0629 GB1000 BR0000   h0126  R0642 G0378 B0000
RG0626 GB1000 BR0000   h0127  R0639 G0381 B0000
RG0623 GB1000 BR0000   h0128  R0636 G0384 B0000
RG0620 GB1000 BR0000   h0129  R0633 G0387 B0000
RG0617 GB1000 BR0000   h0130  R0630 G0390 B0000
RG0614 GB1000 BR0000   h0131  R0627 G0393 B0000
RG0611 GB1000 BR0000   h0132  R0624 G0396 B0000
RG0608 GB1000 BR0000   h0133  R0621 G0399 B0000
RG0605 GB1000 BR0000   h0134  R0618 G0402 B0000
RG0602 GB1000 BR0000   h0135  R0615 G0405 B0000
RG0600 GB1000 BR0000   h0136  R0612 G0408 B0000
RG0597 GB1000 BR0000   h0137  R0609 G0411 B0000
RG0594 GB1000 BR0000   h0138  R0606 G0414 B0000
RG0591 GB1000 BR0000   h0139  R0603 G0417 B0000
RG0588 GB1000 BR0000   h0140  R0600 G0420 B0000
RG0585 GB1000 BR0000   h0141  R0597 G0423 B0000
RG0582 GB1000 BR0000   h0142  R0594 G0426 B0000
RG0579 GB1000 BR0000   h0143  R0591 G0429 B0000
RG0576 GB1000 BR0000   h0144  R0588 G0432 B0000
RG0573 GB1000 BR0000   h0145  R0585 G0435 B0000
RG0570 GB1000 BR0000   h0146  R0582 G0438 B0000
RG0567 GB1000 BR0000   h0147  R0579 G0441 B0000
RG0564 GB1000 BR0000   h0148  R0576 G0444 B0000
RG0561 GB1000 BR0000   h0149  R0573 G0447 B0000
RG0558 GB1000 BR0000   h0150  R0570 G0450 B0000
RG0555 GB1000 BR0000   h0151  R0567 G0453 B0000
RG0552 GB1000 BR0000   h0152  R0564 G0456 B0000
RG0550 GB1000 BR0000   h0153  R0561 G0459 B0000
RG0547 GB1000 BR0000   h0154  R0558 G0462 B0000
RG0544 GB1000 BR0000   h0155  R0555 G0465 B0000
RG0541 GB1000 BR0000   h0156  R0552 G0468 B0000
RG0538 GB1000 BR0000   h0157  R0549 G0471 B0000
RG0535 GB1000 BR0000   h0158  R0546 G0474 B0000
RG0532 GB1000 BR0000   h0159  R0543 G0477 B0000
RG0529 GB1000 BR0000   h0160  R0540 G0480 B0000
RG0526 GB1000 BR0000   h0161  R0537 G0483 B0000
RG0523 GB1000 BR0000   h0162  R0534 G0486 B0000
RG0520 GB1000 BR0000   h0163  R0531 G0489 B0000
RG0517 GB1000 BR0000   h0164  R0528 G0492 B0000
RG0514 GB1000 BR0000   h0165  R0525 G0495 B0000
RG0511 GB1000 BR0000   h0166  R0522 G0498 B0000
RG0508 GB1000 BR0000   h0167  R0519 G0501 B0000
RG0505 GB1000 BR0000   h0168  R0516 G0504 B0000
